Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Mei Lam Estate,Sha Tin,New Territories,22.37777,114.17732,Public Rental Housing,1981,Double I  Old Slab  Triple H  Trident 1,4,Mei Fung House Mei Tao House Mei Wai House Mei Yeung House,4 100 As at 30.6.2025,10.8 - 64.7,Formed,Tai Po  North & Shatin District Tenancy Management Office (4) Unit 241-260  2/F.  Shek Yuk House  Chun Shek Estate  Shatin Telephone :  2699 3082 Fax  :  2699 9418,China Overseas Property Services Ltd. Unit 117-122  G/F.  Mei Fung House  Mei Lam Estate  Shatin. Tel : 2604 9229 Fax : 2609 1345,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/meilamestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Mei Lam,4100,9400,4100
Shek Lei (II) Estate,Kwai Tsing,New Territories,22.36752,114.1408,Public Rental Housing / Interim Housing,1994,Harmony 1  Harmony 3A  Small Household Block  New Harmony 1  Non-standard  Mark IV,12,Shek Fu House Shek Hei House Shek Kai House Shek Wah House Shek Cheung House Shek Fook House Shek Kwong House Shek Wing House Shek Yan House Shek Wai House Shek Yi House Shek Foon House,8 400 As at 30.6.2025,14.16 - 49.3,Formed,Ha Kwai Chung District Tenancy Management Office Wing C  G/F  Shek Cheung House  Shek Lei (II) Estate  Kwai Chung T : 2420 6987 F : 2429 9431,Creative Property Services Consultants Ltd. G/F  Shek Hei House  Shek Lei (II) Estate  Kwai Chung Telephone: 2489 0020 Fax: 2489 0060 Web site: www.cpsc.hk,(Carpark next to Shek Wai House and Shek Yi House) Creative Property Services Consultants Ltd. G/F  Shek Hei House  Shek Lei (II) Estate  Kwai Chung Telephone: 2489 0020 Fax: 2489 0060 Web site: www.cpsc.hk,-,* Includes flats  households and authorized population under Public Rental Housing only. - Shek Lei Shopping Centre and the adjacent Carpark are owned and managed by The Link.  <a href= /en/common/pdf/global-elements/estate-locator/ShekLeiIIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Lei (II),8400,21600,8300
Fu Tai Estate,Tuen Mun,New Territories,22.41336,113.98469,Public Rental Housing,2000,Concord 1  Harmony 1  Single Aspect Building,12,Kwan Tai House Mei Tai House Oi Tai House Sau Tai House Chung Tai House Kin Tai House Ning Tai House Yan Tai House Ying Tai House Yin Tai House Yat Tai House Ancillary Facilities Block,5 100 As at 30.6.2025,16.3 - 53.1,Formed,Tuen Mun North District Tenancy Management Office 5/F.  Ancillary Facilities Block  Fu Tai Estate  Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,China Overseas Property Services Limited No. G01  G/F  Ying Tai House Fu Tai Estate  Tuen Mun Telephone: 2453 7272 Fax: 2453 7351,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/FuTaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Fu Tai,5100,15600,5000
Kin Sang Estate,Tuen Mun,New Territories,22.40605,113.96994,Tenants Purchase Scheme,1989,Trident 4,4,Hong Sang House Lok Sang House Tai Sang House Yue Sang House,300 * As at 30.6.2025,Gross Floor Areas (sqm):25.0 - 71.9;Saleable Areas (sqm):19.3 - 55.6,Not applicable (Owners' Corporation Formed),Tuen Mun District Tenancy Management Office (6) Units 403-412  4/F  Ting Cheung House  On Ting Estate  Tuen Mun Telephone: 2451 0321 Fax: 2450 9740  Kin Sang Estate Tenants Service Management Office Nice Property Management Limited G/F  Leung Chun House  Leung King Estate Tuen Mun Telephone: 2465 1239 Fax: 3525 0436,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats/ households / authorized population under Public Rental Housing only,Kin Sang,300,600,300
Leung King Estate,Tuen Mun,New Territories,22.40756,113.96332,Tenants Purchase Scheme,1988,New Slab  Trident 3  Trident 4,8,Leung Wah House Leung Chi House Leung Ying House Leung Kit House Leung Chun House Leung Shui House Leung Wai House Leung Yin House,1 500 * As at 30.6.2025,Gross Floor Areas (sqm):18.5 - 87.1; Saleable Areas (sqm):13.9 - 66.4,Not applicable (Owners' Corporation Formed),Tuen Mun District Tenancy Management Office (7) Unit 2  wing A  G/F  King Mei House  Shan King Estate  Tuen Mun Telephone: 2465 1212 Fax: 2469 9785  Leung King Estate Tenants Service Management Office Nice Property Management Limited G/F  Leung Chun House  Leung King Estate  Tuen Mun Telephone: 2465 1239 Fax: 3525 0436,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats/households/authorized population under Public Rental Housing only,Leung King,1500,2900,1400
Sha Kok Estate,Sha Tin,New Territories,22.3778,114.19328,Public Rental Housing,1980,Old slab  Triple H,7,Bean Goose House Green Heron House Herring Gull House Oriole House Osprey House Skylark House Sand Martin House,6 400 As at 30.6.2025,11.0 - 67.9,Formed,Sha Kok Estate Office G/F  Sha Kok Community Hall  Sha Kok Estate  Shatin  Telephone :  2647 1311 Fax  :  2637 5251,Sha Kok Estate Office G/F  Sha Kok Community Hall  Sha Kok Estate  Shatin  Telephone :  2647 1311 Fax  :  2637 5251,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShaKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sha Kok,6400,13800,6300
Shek Mun Estate,Sha Tin,New Territories,22.38669,114.20929,Public Rental Housing,2009  2019,Harmony and Non Standard Block,6,Kin Shek House Mei Shek House Fung Shek House San Shek House Sui Shek House Hi Shek House,5 000 As at 30.6.2025,14.05-39.6,Formed,Tai Po  North & Shatin District Tenancy Management Office (11) G/F  Skylark House  Sha Kok Estate  Shatin Telephone : 2697 7208 Fax : 2797 0908,Easy Living Consultant Limited G/F  Wing C  Mei Shek House  Shek Mun Estate Tel : 2699 0329 (for Kin Shek House and Mei Shek House)         3618 9914 (for Fung Shek House  San Shek House  Sui Shek House and Hi Shek House) Fax : 2699 0913 (for Kin Shek House and Mei Shek House)         3618 9924 (for Fung Shek House  San Shek House  Sui Shek House and Hi Shek House),Yue Xiu APT Parking Ltd 27/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617,,<a href= /en/common/pdf/global-elements/estate-locator/ShekMunEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Mun,5000,12800,5000
Yau Tong Estate,Kwun Tong,Kowloon,22.29744,114.23853,Public Rental Housing,2000,Harmony 1  New Cruciform Block,5,Fu Tong House  Kwai Tong House Wing Tong House Wah Tong House Mei Tong House,3 600 As at 30.6.2025,16.3 - 53.7,Formed,Housing Department Kowloon East (2) District Tenancy Management Office G/F  Fu Tong House  Yau Tong Estate  Kowloon Telephone: 2349 4189 Fax: 2174 5187,Creative Property Services Consultants Ltd. G/F  Fu Tong House  Yau Tong Estate  Yau Tong  Kowloon Telephone: 2349 4189 Fax: 3194 0310 E-mail: yat@cpsc.hk,-,-,<a href= /en/common/pdf/global-elements/estate-locator/YauTongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Yau Tong,3600,9300,3600
Ngan Wan Estate,Islands,New Territories,22.26514,113.99676,Public Rental Housing,1988,Non-standard,4,Ngan Yat House Ngan Yuet House Ngan Hung House Ngan Sing House,400 As at 30.6.2025,10.5 - 48.0,Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate  Tung Chung  Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Modern Living Property Management Limited 113 - 115 Ngan Yuet House  Ngan Wan Estate  Mui Wo Telephone: 2984 7000 Fax: 2984 9099 E-mail: nganwan_emo@modernliving.com.hk,Modern Living Property Management Limited 113 - 115 Ngan Yuet House  Ngan Wan Estate  Mui Wo Telephone: 2984 7000 Fax: 2984 9099 E-mail: nganwan_emo@modernliving.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/NganWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Ngan Wan,400,1200,400
Hau Tak Estate,Sai Kung,New Territories,22.31876,114.26372,Public Rental Housing,1993,Harmony 1,6,Tak Chi House Tak Fu House Tak Hong House Tak Chak House Tak On House Tak Yue House,4 200 As at 30.6.2025,14.1 - 43.6,Formed,Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone: 2701 3320 Fax: 2703 6344,Modern Living Property Management Limited G/F  Tak Fu House  Hau Tak Estate  Tseung Kwan O. Telephone: 2706 0188 Fax: 2706 7755,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/HauTakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Hau Tak,4200,11600,4100
Lung Tin Estate,Islands,New Territories,22.25282,113.86577,Public Rental Housing,1980,Non-standard,8,Tin Choi House Tin Hei House Tin Kwai House Tin Ning House Tin Sing House Tin Tak House Tin Fook House Tin Fu House,500 As at 30.6.2025,16.3 - 53.9,Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate  Tung Chung  Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Modern Living Property Management Limited Shop 9 - 10  Lung Tin Shopping Centre  Lung Tin Estate  Tai O Telephone: 2985 5807 Fax: 2985 5844 E-mail: lungtin_emo@modernliving.com.hk,Modern Living Property Management Limited Shop 9 - 10  Lung Tin Shopping Centre  Lung Tin Estate  Tai O Telephone: 2985 5807 Fax: 2985 5844 E-mail: lungtin_emo@modernliving.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/LungTinEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Lung Tin,500,900,400
Hung Hom Estate,Kowloon City,Kowloon,22.30736,114.18906,Public Rental Housing,1999  2011,Harmony 3  Small Household Block   Non-Standard Block,5,Hung Hom Estate (Phase 1) Hung Fai House Hung Sing House  Hung Hom Estate (Phase 2) Hung Yat House Hung Yan House Hung Yiu House,2 800 As at 30.6.2025,14.05 - 52.2,Formed,Kowloon West & Sai Kung District Tenancy Management Office(1) G/F  Nga Man House  Homantin Estate  Kowloon Tel: 2242 0277 Fax: 2194 1305,Good Excel Property Consultants Ltd. G/F  Hung Fai House  Hung Hom Estate  Hung Hom Telephone: 2365 2387  Fax: 2954 4384,Hung Hom Estate (Phase 1) Carpark Owned and operated by private corporation  Hung Hom Estate (Phase 2) Carpark Good Excel Property Consultants Ltd. G/F  Hung Fai House  Hung Hom Estate  Hung Hom Telephone: 2365 2387  Fax: 2954 4384,-,<a href= /en/common/pdf/global-elements/estate-locator/HungHomEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Hung Hom,2800,6300,2700
Shatin Pass Estate,Wong Tai Sin,Kowloon,22.34964,114.19499,Public Rental Housing,2011,Non-Standard Block,2,Wo Tin House Shun Tin House,1 300 As at 30.6.2025,17.42 - 39.88,Formed,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Tel: 2325 0104 Fax: 2351 4358,Pioneer Management Limited G/F Wo Tin House  Shatin Pass Estate Tel: 3563 5640 Fax: 3563 5647,Pioneer Management Limited,-,<a href= /en/common/pdf/global-elements/estate-locator/ShatinPassEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shatin Pass,1300,3000,1300
Choi Ying Estate,Kwun Tong,Kowloon,22.32756,114.21542,Public Rental Housing,2008,New Harmony 1,5,Ying Fu House Ying On House Ying Hong House Ying Lok House Ying Shun House,4 000 As at 30.6.2025,17.99 to 39.59,Formed,Housing Department Kowloon East (6) District Tenancy Management Office (Sub-office) Podium Level 3  Ning Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 3499 1194 Fax: 3499 1153,Easy Living Consultant Limited G/F  Ying Fu House  Choi Ying Estate  Kowloon Telephone: 2331 2845 Fax: 2755 1311,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiYingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Ying,4000,9500,4000
Ping Shek Estate,Kwun Tong,Kowloon,22.33356,114.2096,Public Rental Housing,1970,Old Slab  Single Tower,7,Hung Shek House Kam Shek House Lam Shek House Tsuen Shek House Tsui Shek House Wong Shek House Yuk Shek House,4 600 As at 30.6.2025,30.6 - 38.8,Formed,Housing Department Ping Shek Estate Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Housing Department Ping Shek Estate Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/PingShekEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ping Shek,4600,11400,4600
Fu Shin Estate,Tai Po,New Territories,22.453,114.17556,Tenants Purchase Scheme,1985,Trident 1  Trident 2,6,Shin King House Shin Kwan House Shin Lun House Shin Mei House Shin Nga House Shin Tsui House,1 200 * As at 30.6.2025,10.8 - 49.7,Not applicable (Owners' Corporation Formed),"Tai Po  North & Shatin District Tenancy Management Office (12) Unit 221 - 240  2/F  Shek Yuk House  Chun Shek Estate  Shatin  N.T. Telephone : 2694 4408 Fax : 2647 1930   Fu Shin Estate Tenants Service Management Office Funing Property Mgt Ltd. No. 11-13  G/F Shin Nga House  Fu Shin Estate Telephone:  2665 8733	 Fax:  2667 6063",Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Fu Shin,1200,2600,1200
Nam Cheong Estate,Sham Shui Po,Kowloon,22.32642,114.15827,Tenants Purchase Scheme,1989,Linear 1  Linear 3,7,Cheong Chung House Cheong Him House Cheong Chit House Cheong On House Cheong Shun House Cheong Yat House Cheong Yin House,400 * As at 30.6.2025,Gross Floor Areas (sqm):19.3 - 70.8 Saleable Areas (sqm): 13.5 - 49.4,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Lai Mei House  Lai Kok Estate   Sham Shui Po Tel: 2361 0070 Fax: 2148 2463  Nam Cheong Estate Tenants Service Management Office   Good Excel Property Consultants Ltd. No.8-9 G/F.  Cheong On House  Nam Cheong Estate  Shamshuipo  Kowloon  Tel: 2386 9311  Fax: 2386 9334,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Nam Cheong,400,800,300
Fu Cheong Estate,Sham Shui Po,Kowloon,22.32861,114.15465,Public Rental Housing,2001,Harmony 1  Senior Citizens  Single Aspect Building,10,Fu Hoi House Fu Leung House Fu Loy House Fu Sing House Fu Wong House Fu Wen House Fu Yee House Fu Ying House Fu Yun House Fu Yuet House,6 000 As at 30.6.2025,9.6 - 52.1,Formed,Fu Cheong Estate Office G/F  Fu Ying House  Fu Cheong Estate  Sham Shui Po  Kowloon Tel: 2361 8181 Fax: 2361 3030,Fu Cheong Estate Office G/F  Fu Ying House  Fu cheong Estate   Sham Shui Po  Kowloon Telephone: 2361 8181 Fax: 2361 3030,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/FuCheongEstate-barrier-free-en_2021.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Fu Cheong,6000,14400,5900
Lai Kok Estate,Sham Shui Po,Kowloon,22.33224,114.15681,Public Rental Housing,1981,Old Slab  Triple I,8,Lai Fu House Lai Huen House Lai Ho House Lai Kuk House Lai Kwai House Lai Lan House Lai Lo House Lai Mei House,3 000 As at 30.6.2025,11.2 - 39.4,Formed,Lai Kok Estate Office 1/F  Lai Kwai House  Lai Kok Estate   Sham Shui Po Telephone: 2361 0217 (24-Hr Telephone 2304 3657)  Fax: 2748 7093,Lai Kok Estate Office 1/F  Lai Kwai House  Lai Kok Estate   Sham Shui Po Telephone: 2361 0217 (24-Hr Telephone 2304 3657)  Fax: 2748 7093,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LaiKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lai Kok,3000,6200,2900
Lai On Estate,Sham Shui Po,Kowloon,22.33077,114.15847,Public Rental Housing,1993,Harmony 1,5,Lai Ching House Lai Lim House Lai Ping House Lai Tak House Lai Wing House,1 400 As at 30.6.2025,13.1 - 43.6,Formed,Lai On Estate Office G/F  Lai Ping House   Lai On Estate  Sham Shui Po  Telephone: 2725 5750  (24-Hr Telephone 2720 0275) Fax: 2708 3870,Lai On Estate Office G/F  Lai Ping House   Lai On Estate  Sham Shui Po  Telephone: 2725 5750 (24-Hr Telephone 2720 0275) Fax: 2708 3870,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LaiOnEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lai On,1400,3400,1300
Lei Cheng Uk Estate,Sham Shui Po,Kowloon,22.33921,114.16013,Tenants Purchase Scheme,1984,Double H  Linear 1  Linear 3  Old Slab  Trident 4,10,Chung Hou House Hau Chi House Hau Lim House Lim Kit House Lai Yeung House Shun Yee House Tao Tak House Wo Muk House Wo Ping House Yan Oi House,700 * As at 30.6.2025,Gross Floor Areas (sqm):27.8 - 84.3;  Saleable Areas (sqm):21.5 - 65.1,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Lai Mei House  Lai Kok Estate  Sham Shui Po Tel: 2361 0070 Fax: 2148 2463  Lei Cheng Uk Estate Tenants Service Management Office  Good Excel Property Consultants Ltd. Unit 317  P/F  Shun Yee House  Lei Cheng Uk Estate  Kowloon   Tel: 2728 2239  Fax: 2728 2790,Appointed by Owners' Corporation,Owned and operated by private corporation,,* Includes flats  households and authorized population under Public Rental Housing only,Lei Cheng Uk,700,1400,600
Ko Cheung Court,Kwun Tong,Kowloon,22.29693,114.24012,Public Rental Housing,2004,NCB,5,Ko Hang House Ko Ki House Ko Lun House Ko On House Ko Sui House,1 800 As at 30.6.2025,31.5 - 53.6,Formed,Housing Department Kowloon East (4) District Tenancy Management Office  G/F  Wun Wah House  Lok Wah South Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,China Overseas Property Services Ltd. (Public Rental Housing In-flat) 4/F  Podium  Ko On House  Ko Cheung Court  Ko Chiu Court  Yau Tong Telephone: 3417 1128 Fax: 3417 1138  China Overseas Property Services Ltd. (Estate Common Areas and Facilities) G/F  Wai Mei House  Yau Mei Court  Yau Tong Telephone: 2204 5080 Fax: 2204 5088,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/KoCheungCourt-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ko Cheung Court,1800,6000,1800
